ano,home_team,away_team,home_score,away_score
2014,Flamengo - RJ,Goiás - GO,0,0
2014,Fluminense - RJ,Figueirense - SC,3,0
2014,São Paulo - SP,Botafogo - RJ,3,0
2014,Santos - SP,Sport - PE,1,1
2014,Atletico - PR,Grêmio - RS,1,0
2014,Atlético - MG,Corinthians - SP,0,0
2014,Bahia - BA,Cruzeiro - MG,1,2
2014,Internacional - RS,Vitória - BA,1,0
2014,Criciuma - SC,Palmeiras - SP,1,2
2014,Chapecoense - SC,Coritiba - PR,0,0
2014,Botafogo - RJ,Internacional - RS,2,2
2014,Sport - PE,Chapecoense - SC,2,1
2014,Corinthians - SP,Flamengo - RJ,2,0
2014,Palmeiras - SP,Fluminense - RJ,0,1
2014,Coritiba - PR,Santos - SP,0,0
2014,Cruzeiro - MG,São Paulo - SP,1,1
2014,Vitória - BA,Atletico - PR,2,2
2014,Grêmio - RS,Atlético - MG,2,1
2014,Figueirense - SC,Bahia - BA,0,2
2014,Goiás - GO,Criciuma - SC,1,0
2014,Flamengo - RJ,Palmeiras - SP,4,2
2014,Fluminense - RJ,Vitória - BA,1,2
2014,São Paulo - SP,Coritiba - PR,2,2
2014,Santos - SP,Grêmio - RS,0,0
2014,Atletico - PR,Cruzeiro - MG,2,3
2014,Atlético - MG,Goiás - GO,0,1
2014,Bahia - BA,Botafogo - RJ,1,0
2014,Internacional - RS,Sport - PE,2,1
2014,Criciuma - SC,Figueirense - SC,1,0
2014,Chapecoense - SC,Corinthians - SP,0,1
2014,Botafogo - RJ,Criciuma - SC,6,0
2014,Fluminense - RJ,Flamengo - RJ,2,0
2014,São Paulo - SP,Corinthians - SP,1,1
2014,Palmeiras - SP,Goiás - GO,2,0
2014,Coritiba - PR,Sport - PE,0,1
2014,Atlético - MG,Cruzeiro - MG,2,1
2014,Bahia - BA,Vitória - BA,1,1
2014,Internacional - RS,Atletico - PR,2,1
2014,Figueirense - SC,Santos - SP,0,2
2014,Chapecoense - SC,Grêmio - RS,1,2
2014,Flamengo - RJ,São Paulo - SP,0,2
2014,Sport - PE,Bahia - BA,1,0
2014,Corinthians - SP,Figueirense - SC,0,1
2014,Santos - SP,Atlético - MG,1,2
2014,Atletico - PR,Chapecoense - SC,1,1
2014,Cruzeiro - MG,Coritiba - PR,3,2
2014,Vitória - BA,Palmeiras - SP,0,1
2014,Grêmio - RS,Fluminense - RJ,1,0
2014,Criciuma - SC,Internacional - RS,0,0
2014,Goiás - GO,Botafogo - RJ,2,0
2014,Flamengo - RJ,Bahia - BA,1,1
2014,Fluminense - RJ,São Paulo - SP,5,2
2014,Corinthians - SP,Atletico - PR,1,1
2014,Palmeiras - SP,Figueirense - SC,1,0
2014,Coritiba - PR,Internacional - RS,1,1
2014,Cruzeiro - MG,Sport - PE,2,0
2014,Vitória - BA,Atlético - MG,2,3
2014,Grêmio - RS,Botafogo - RJ,2,1
2014,Criciuma - SC,Chapecoense - SC,1,0
2014,Goiás - GO,Santos - SP,2,2
2014,Botafogo - RJ,Vitória - BA,1,1
2014,Sport - PE,Corinthians - SP,1,4
2014,São Paulo - SP,Grêmio - RS,1,0
2014,Santos - SP,Flamengo - RJ,0,0
2014,Atletico - PR,Coritiba - PR,2,0
2014,Atlético - MG,Criciuma - SC,0,0
2014,Bahia - BA,Fluminense - RJ,0,1
2014,Internacional - RS,Cruzeiro - MG,1,3
2014,Figueirense - SC,Goiás - GO,0,1
2014,Chapecoense - SC,Palmeiras - SP,2,0
2014,Flamengo - RJ,Figueirense - SC,1,1
2014,Sport - PE,Grêmio - RS,0,0
2014,Corinthians - SP,Cruzeiro - MG,1,0
2014,Palmeiras - SP,Botafogo - RJ,0,2
2014,Atletico - PR,São Paulo - SP,2,2
2014,Atlético - MG,Fluminense - RJ,2,0
2014,Bahia - BA,Santos - SP,0,2
2014,Internacional - RS,Chapecoense - SC,2,0
2014,Criciuma - SC,Coritiba - PR,1,0
2014,Goiás - GO,Vitória - BA,0,0
2014,Botafogo - RJ,Corinthians - SP,1,0
2014,Fluminense - RJ,Internacional - RS,1,1
2014,São Paulo - SP,Atlético - MG,2,1
2014,Santos - SP,Criciuma - SC,2,0
2014,Coritiba - PR,Goiás - GO,3,0
2014,Cruzeiro - MG,Flamengo - RJ,3,0
2014,Vitória - BA,Sport - PE,0,1
2014,Grêmio - RS,Palmeiras - SP,0,0
2014,Figueirense - SC,Atletico - PR,1,3
2014,Chapecoense - SC,Bahia - BA,2,1
2014,Flamengo - RJ,Atletico - PR,1,2
2014,Sport - PE,Botafogo - RJ,1,0
2014,Corinthians - SP,Internacional - RS,2,1
2014,Santos - SP,Palmeiras - SP,2,0
2014,Coritiba - PR,Figueirense - SC,0,2
2014,Cruzeiro - MG,Vitória - BA,3,1
2014,Bahia - BA,São Paulo - SP,0,2
2014,Grêmio - RS,Goiás - GO,0,0
2014,Criciuma - SC,Fluminense - RJ,3,2
2014,Chapecoense - SC,Atlético - MG,1,1
2014,Botafogo - RJ,Coritiba - PR,1,0
2014,Fluminense - RJ,Santos - SP,1,0
2014,São Paulo - SP,Chapecoense - SC,0,1
2014,Palmeiras - SP,Cruzeiro - MG,1,2
2014,Atletico - PR,Criciuma - SC,2,0
2014,Atlético - MG,Bahia - BA,1,1
2014,Vitória - BA,Corinthians - SP,0,0
2014,Internacional - RS,Flamengo - RJ,4,0
2014,Figueirense - SC,Grêmio - RS,0,1
2014,Goiás - GO,Sport - PE,0,0
2014,Flamengo - RJ,Botafogo - RJ,1,0
2014,Sport - PE,Atlético - MG,2,1
2014,Corinthians - SP,Palmeiras - SP,2,0
2014,Santos - SP,Chapecoense - SC,3,0
2014,Atletico - PR,Fluminense - RJ,0,3
2014,Cruzeiro - MG,Figueirense - SC,5,0
2014,Bahia - BA,Internacional - RS,0,1
2014,Grêmio - RS,Coritiba - PR,2,3
2014,Criciuma - SC,Vitória - BA,1,3
2014,Goiás - GO,São Paulo - SP,2,1
2014,Botafogo - RJ,Cruzeiro - MG,1,1
2014,Fluminense - RJ,Goiás - GO,2,0
2014,São Paulo - SP,Criciuma - SC,1,1
2014,Palmeiras - SP,Bahia - BA,1,1
2014,Coritiba - PR,Corinthians - SP,0,0
2014,Atlético - MG,Atletico - PR,3,1
2014,Vitória - BA,Grêmio - RS,2,1
2014,Internacional - RS,Santos - SP,1,0
2014,Figueirense - SC,Sport - PE,3,0
2014,Chapecoense - SC,Flamengo - RJ,1,0
2014,Flamengo - RJ,Sport - PE,1,0
2014,Fluminense - RJ,Coritiba - PR,1,1
2014,São Paulo - SP,Vitória - BA,3,1
2014,Santos - SP,Corinthians - SP,0,1
2014,Atletico - PR,Botafogo - RJ,2,0
2014,Atlético - MG,Palmeiras - SP,2,1
2014,Bahia - BA,Goiás - GO,1,0
2014,Internacional - RS,Grêmio - RS,2,0
2014,Criciuma - SC,Cruzeiro - MG,0,0
2014,Chapecoense - SC,Figueirense - SC,0,1
2014,Botafogo - RJ,Fluminense - RJ,2,0
2014,Sport - PE,Atletico - PR,1,1
2014,Corinthians - SP,Bahia - BA,1,1
2014,Palmeiras - SP,São Paulo - SP,1,2
2014,Coritiba - PR,Flamengo - RJ,0,1
2014,Cruzeiro - MG,Santos - SP,3,0
2014,Vitória - BA,Chapecoense - SC,0,0
2014,Grêmio - RS,Criciuma - SC,2,0
2014,Figueirense - SC,Atlético - MG,2,2
2014,Goiás - GO,Internacional - RS,0,1
2014,Flamengo - RJ,Atlético - MG,2,1
2014,Sport - PE,Palmeiras - SP,2,1
2014,Corinthians - SP,Goiás - GO,5,2
2014,Santos - SP,Atletico - PR,2,0
2014,Coritiba - PR,Vitória - BA,2,0
2014,Cruzeiro - MG,Grêmio - RS,1,0
2014,Bahia - BA,Criciuma - SC,0,0
2014,Internacional - RS,São Paulo - SP,0,1
2014,Figueirense - SC,Botafogo - RJ,1,0
2014,Chapecoense - SC,Fluminense - RJ,1,0
2014,Botafogo - RJ,Chapecoense - SC,1,0
2014,Fluminense - RJ,Sport - PE,4,0
2014,São Paulo - SP,Santos - SP,2,1
2014,Palmeiras - SP,Coritiba - PR,1,0
2014,Atletico - PR,Bahia - BA,0,0
2014,Atlético - MG,Internacional - RS,1,0
2014,Vitória - BA,Figueirense - SC,0,1
2014,Grêmio - RS,Corinthians - SP,2,1
2014,Criciuma - SC,Flamengo - RJ,0,2
2014,Goiás - GO,Cruzeiro - MG,0,1
2014,Botafogo - RJ,Santos - SP,1,0
2014,Sport - PE,Criciuma - SC,2,0
2014,Corinthians - SP,Fluminense - RJ,1,1
2014,Palmeiras - SP,Internacional - RS,0,1
2014,Coritiba - PR,Atlético - MG,0,0
2014,Cruzeiro - MG,Chapecoense - SC,4,2
2014,Vitória - BA,Flamengo - RJ,1,2
2014,Grêmio - RS,Bahia - BA,1,0
2014,Figueirense - SC,São Paulo - SP,1,1
2014,Goiás - GO,Atletico - PR,3,1
2014,Flamengo - RJ,Grêmio - RS,0,1
2014,Fluminense - RJ,Cruzeiro - MG,3,3
2014,São Paulo - SP,Sport - PE,2,0
2014,Santos - SP,Vitória - BA,3,1
2014,Atletico - PR,Palmeiras - SP,1,1
2014,Atlético - MG,Botafogo - RJ,1,0
2014,Bahia - BA,Coritiba - PR,0,0
2014,Internacional - RS,Figueirense - SC,2,3
2014,Criciuma - SC,Corinthians - SP,0,0
2014,Chapecoense - SC,Goiás - GO,0,0
2014,Botafogo - RJ,São Paulo - SP,2,4
2014,Sport - PE,Santos - SP,3,1
2014,Corinthians - SP,Atlético - MG,1,0
2014,Palmeiras - SP,Criciuma - SC,1,0
2014,Coritiba - PR,Chapecoense - SC,3,0
2014,Cruzeiro - MG,Bahia - BA,2,1
2014,Vitória - BA,Internacional - RS,2,0
2014,Grêmio - RS,Atletico - PR,1,0
2014,Figueirense - SC,Fluminense - RJ,1,1
2014,Goiás - GO,Flamengo - RJ,1,0
2014,Flamengo - RJ,Corinthians - SP,1,0
2014,Fluminense - RJ,Palmeiras - SP,3,0
2014,São Paulo - SP,Cruzeiro - MG,2,0
2014,Santos - SP,Coritiba - PR,2,1
2014,Atletico - PR,Vitória - BA,2,0
2014,Atlético - MG,Grêmio - RS,0,0
2014,Bahia - BA,Figueirense - SC,3,0
2014,Internacional - RS,Botafogo - RJ,2,0
2014,Criciuma - SC,Goiás - GO,1,0
2014,Chapecoense - SC,Sport - PE,3,1
2014,Botafogo - RJ,Bahia - BA,2,3
2014,Sport - PE,Internacional - RS,0,0
2014,Corinthians - SP,Chapecoense - SC,1,1
2014,Palmeiras - SP,Flamengo - RJ,2,2
2014,Coritiba - PR,São Paulo - SP,3,1
2014,Cruzeiro - MG,Atletico - PR,2,0
2014,Vitória - BA,Fluminense - RJ,3,1
2014,Grêmio - RS,Santos - SP,0,0
2014,Figueirense - SC,Criciuma - SC,1,1
2014,Goiás - GO,Atlético - MG,2,3
2014,Flamengo - RJ,Fluminense - RJ,1,1
2014,Sport - PE,Coritiba - PR,1,0
2014,Corinthians - SP,São Paulo - SP,3,2
2014,Santos - SP,Figueirense - SC,3,1
2014,Atletico - PR,Internacional - RS,0,1
2014,Cruzeiro - MG,Atlético - MG,2,3
2014,Vitória - BA,Bahia - BA,2,1
2014,Grêmio - RS,Chapecoense - SC,1,0
2014,Criciuma - SC,Botafogo - RJ,1,1
2014,Goiás - GO,Palmeiras - SP,6,0
2014,Botafogo - RJ,Goiás - GO,1,0
2014,Fluminense - RJ,Grêmio - RS,0,0
2014,São Paulo - SP,Flamengo - RJ,2,2
2014,Palmeiras - SP,Vitória - BA,2,0
2014,Coritiba - PR,Cruzeiro - MG,1,2
2014,Atlético - MG,Santos - SP,3,2
2014,Bahia - BA,Sport - PE,1,0
2014,Internacional - RS,Criciuma - SC,3,0
2014,Figueirense - SC,Corinthians - SP,1,0
2014,Chapecoense - SC,Atletico - PR,3,0
2014,Botafogo - RJ,Grêmio - RS,0,2
2014,Sport - PE,Cruzeiro - MG,0,0
2014,São Paulo - SP,Fluminense - RJ,1,3
2014,Santos - SP,Goiás - GO,2,0
2014,Atletico - PR,Corinthians - SP,1,0
2014,Atlético - MG,Vitória - BA,2,0
2014,Bahia - BA,Flamengo - RJ,2,1
2014,Internacional - RS,Coritiba - PR,4,2
2014,Figueirense - SC,Palmeiras - SP,3,1
2014,Chapecoense - SC,Criciuma - SC,1,1
2014,Flamengo - RJ,Santos - SP,0,1
2014,Fluminense - RJ,Bahia - BA,1,1
2014,Corinthians - SP,Sport - PE,3,0
2014,Palmeiras - SP,Chapecoense - SC,4,2
2014,Coritiba - PR,Atletico - PR,1,0
2014,Cruzeiro - MG,Internacional - RS,2,1
2014,Vitória - BA,Botafogo - RJ,2,1
2014,Grêmio - RS,São Paulo - SP,0,1
2014,Criciuma - SC,Atlético - MG,3,1
2014,Goiás - GO,Figueirense - SC,1,0
2014,Botafogo - RJ,Palmeiras - SP,0,1
2014,Fluminense - RJ,Atlético - MG,0,0
2014,São Paulo - SP,Atletico - PR,1,0
2014,Santos - SP,Bahia - BA,1,0
2014,Coritiba - PR,Criciuma - SC,1,0
2014,Cruzeiro - MG,Corinthians - SP,0,1
2014,Vitória - BA,Goiás - GO,2,2
2014,Grêmio - RS,Sport - PE,2,0
2014,Figueirense - SC,Flamengo - RJ,1,2
2014,Chapecoense - SC,Internacional - RS,5,0
2014,Flamengo - RJ,Cruzeiro - MG,3,0
2014,Sport - PE,Vitória - BA,1,2
2014,Corinthians - SP,Botafogo - RJ,1,1
2014,Palmeiras - SP,Grêmio - RS,2,1
2014,Atletico - PR,Figueirense - SC,3,0
2014,Atlético - MG,São Paulo - SP,1,0
2014,Bahia - BA,Chapecoense - SC,0,1
2014,Internacional - RS,Fluminense - RJ,2,1
2014,Criciuma - SC,Santos - SP,3,0
2014,Goiás - GO,Coritiba - PR,3,0
2014,Botafogo - RJ,Sport - PE,1,1
2014,Fluminense - RJ,Criciuma - SC,4,2
2014,São Paulo - SP,Bahia - BA,2,1
2014,Palmeiras - SP,Santos - SP,1,3
2014,Atletico - PR,Flamengo - RJ,2,1
2014,Atlético - MG,Chapecoense - SC,1,0
2014,Vitória - BA,Cruzeiro - MG,0,1
2014,Internacional - RS,Corinthians - SP,1,2
2014,Figueirense - SC,Coritiba - PR,4,0
2014,Goiás - GO,Grêmio - RS,0,0
2014,Flamengo - RJ,Internacional - RS,2,0
2014,Sport - PE,Goiás - GO,0,1
2014,Corinthians - SP,Vitória - BA,2,1
2014,Santos - SP,Fluminense - RJ,0,1
2014,Coritiba - PR,Botafogo - RJ,2,0
2014,Cruzeiro - MG,Palmeiras - SP,1,1
2014,Bahia - BA,Atlético - MG,1,1
2014,Grêmio - RS,Figueirense - SC,1,0
2014,Criciuma - SC,Atletico - PR,0,1
2014,Chapecoense - SC,São Paulo - SP,0,0
2014,Botafogo - RJ,Flamengo - RJ,2,1
2014,Fluminense - RJ,Atletico - PR,2,1
2014,São Paulo - SP,Goiás - GO,3,0
2014,Palmeiras - SP,Corinthians - SP,1,1
2014,Coritiba - PR,Grêmio - RS,1,1
2014,Atlético - MG,Sport - PE,3,2
2014,Vitória - BA,Criciuma - SC,3,1
2014,Internacional - RS,Bahia - BA,2,0
2014,Figueirense - SC,Cruzeiro - MG,1,1
2014,Chapecoense - SC,Santos - SP,1,1
2014,Flamengo - RJ,Chapecoense - SC,3,0
2014,Sport - PE,Figueirense - SC,1,0
2014,Corinthians - SP,Coritiba - PR,2,2
2014,Santos - SP,Internacional - RS,1,2
2014,Atletico - PR,Atlético - MG,1,0
2014,Cruzeiro - MG,Botafogo - RJ,2,1
2014,Bahia - BA,Palmeiras - SP,0,1
2014,Grêmio - RS,Vitória - BA,1,0
2014,Criciuma - SC,São Paulo - SP,1,2
2014,Goiás - GO,Fluminense - RJ,0,2
2014,Botafogo - RJ,Atletico - PR,0,2
2014,Sport - PE,Flamengo - RJ,2,2
2014,Corinthians - SP,Santos - SP,1,0
2014,Palmeiras - SP,Atlético - MG,0,2
2014,Coritiba - PR,Fluminense - RJ,1,0
2014,Cruzeiro - MG,Criciuma - SC,3,1
2014,Vitória - BA,São Paulo - SP,1,2
2014,Grêmio - RS,Internacional - RS,4,1
2014,Figueirense - SC,Chapecoense - SC,1,0
2014,Goiás - GO,Bahia - BA,3,0
2014,Flamengo - RJ,Coritiba - PR,3,2
2014,Fluminense - RJ,Botafogo - RJ,1,0
2014,São Paulo - SP,Palmeiras - SP,2,0
2014,Santos - SP,Cruzeiro - MG,0,1
2014,Atletico - PR,Sport - PE,0,1
2014,Atlético - MG,Figueirense - SC,1,1
2014,Bahia - BA,Corinthians - SP,1,2
2014,Internacional - RS,Goiás - GO,1,0
2014,Criciuma - SC,Grêmio - RS,0,3
2014,Chapecoense - SC,Vitória - BA,0,1
2014,Botafogo - RJ,Figueirense - SC,0,1
2014,Fluminense - RJ,Chapecoense - SC,1,4
2014,São Paulo - SP,Internacional - RS,1,1
2014,Palmeiras - SP,Sport - PE,0,2
2014,Atletico - PR,Santos - SP,1,1
2014,Atlético - MG,Flamengo - RJ,4,0
2014,Vitória - BA,Coritiba - PR,1,1
2014,Grêmio - RS,Cruzeiro - MG,1,2
2014,Criciuma - SC,Bahia - BA,0,1
2014,Goiás - GO,Corinthians - SP,0,1
2014,Flamengo - RJ,Criciuma - SC,1,1
2014,Sport - PE,Fluminense - RJ,2,2
2014,Corinthians - SP,Grêmio - RS,1,0
2014,Santos - SP,São Paulo - SP,0,1
2014,Coritiba - PR,Palmeiras - SP,2,0
2014,Cruzeiro - MG,Goiás - GO,2,1
2014,Bahia - BA,Atletico - PR,1,2
2014,Internacional - RS,Atlético - MG,2,1
2014,Figueirense - SC,Vitória - BA,2,0
2014,Chapecoense - SC,Botafogo - RJ,2,0
2014,Flamengo - RJ,Vitória - BA,4,0
2014,Fluminense - RJ,Corinthians - SP,5,2
2014,São Paulo - SP,Figueirense - SC,1,1
2014,Santos - SP,Botafogo - RJ,2,0
2014,Atletico - PR,Goiás - GO,1,0
2014,Atlético - MG,Coritiba - PR,1,2
2014,Bahia - BA,Grêmio - RS,1,0
2014,Internacional - RS,Palmeiras - SP,3,1
2014,Criciuma - SC,Sport - PE,2,2
2014,Chapecoense - SC,Cruzeiro - MG,1,1
2014,Botafogo - RJ,Atlético - MG,0,0
2014,Sport - PE,São Paulo - SP,1,0
2014,Corinthians - SP,Criciuma - SC,2,1
2014,Palmeiras - SP,Atletico - PR,1,1
2014,Coritiba - PR,Bahia - BA,3,2
2014,Cruzeiro - MG,Fluminense - RJ,2,1
2014,Vitória - BA,Santos - SP,0,1
2014,Grêmio - RS,Flamengo - RJ,1,1
2014,Figueirense - SC,Internacional - RS,1,2
2014,Goiás - GO,Chapecoense - SC,4,2
2015,Palmeiras - SP,Atlético - MG,0,0
2015,Chapecoense - SC,Coritiba - PR,3,0
2015,Fluminense - RJ,Joinville - SC,3,0
2015,São Paulo - SP,Flamengo - RJ,1,1
2015,Cruzeiro - MG,Corinthians - SP,1,0
2015,Atlético - PR,Internacional - RS,0,0
2015,Sport - PE,Figueirense - SC,1,2
2015,Vasco da Gama - RJ,Goiás - GO,1,0
2015,Grêmio - RS,Ponte Preta - SP,1,2
2015,Avaí - SC,Santos - SP,0,0
2015,Coritiba - PR,Grêmio - RS,2,2
2015,Goiás - GO,Atlético - PR,2,1
2015,Corinthians - SP,Chapecoense - SC,2,0
2015,Flamengo - RJ,Sport - PE,0,1
2015,Santos - SP,Cruzeiro - MG,0,0
2015,Atlético - MG,Fluminense - RJ,1,1
2015,Joinville - SC,Palmeiras - SP,2,2
2015,Ponte Preta - SP,São Paulo - SP,2,1
2015,Internacional - RS,Avaí - SC,0,2
2015,Figueirense - SC,Vasco da Gama - RJ,1,0
2015,São Paulo - SP,Joinville - SC,4,2
2015,Vasco da Gama - RJ,Internacional - RS,1,2
2015,Grêmio - RS,Figueirense - SC,2,2
2015,Fluminense - RJ,Corinthians - SP,0,0
2015,Avaí - SC,Flamengo - RJ,2,3
2015,Atlético - PR,Atlético - MG,0,1
2015,Chapecoense - SC,Santos - SP,1,0
2015,Palmeiras - SP,Goiás - GO,2,1
2015,Cruzeiro - MG,Ponte Preta - SP,1,0
2015,Sport - PE,Coritiba - PR,0,1
2015,Ponte Preta - SP,Chapecoense - SC,6,0
2015,Coritiba - PR,Avaí - SC,2,0
2015,Joinville - SC,Atlético - PR,1,1
2015,Corinthians - SP,Palmeiras - SP,2,0
2015,Internacional - RS,São Paulo - SP,0,1
2015,Atlético - MG,Vasco da Gama - RJ,2,1
2015,Goiás - GO,Grêmio - RS,1,1
2015,Santos - SP,Sport - PE,2,1
2015,Flamengo - RJ,Fluminense - RJ,0,2
2015,Figueirense - SC,Cruzeiro - MG,1,2
2015,Vasco da Gama - RJ,Ponte Preta - SP,0,2
2015,Atlético - PR,Figueirense - SC,1,0
2015,Chapecoense - SC,Joinville - SC,0,1
2015,São Paulo - SP,Santos - SP,1,2
2015,Grêmio - RS,Corinthians - SP,1,1
2015,Cruzeiro - MG,Flamengo - RJ,3,2
2015,Avaí - SC,Atlético - MG,0,1
2015,Fluminense - RJ,Coritiba - PR,1,0
2015,Sport - PE,Goiás - GO,0,0
2015,Palmeiras - SP,Internacional - RS,2,0
2015,Santos - SP,Ponte Preta - SP,1,1
2015,Flamengo - RJ,Chapecoense - SC,5,2
2015,Atlético - MG,Cruzeiro - MG,1,1
2015,São Paulo - SP,Grêmio - RS,1,0
2015,Atlético - PR,Vasco da Gama - RJ,1,1
2015,Joinville - SC,Corinthians - SP,2,0
2015,Fluminense - RJ,Sport - PE,2,3
2015,Internacional - RS,Coritiba - PR,2,1
2015,Figueirense - SC,Palmeiras - SP,1,0
2015,Goiás - GO,Avaí - SC,2,2
2015,Atlético - MG,Santos - SP,1,1
2015,Corinthians - SP,Internacional - RS,1,4
2015,Coritiba - PR,Flamengo - RJ,1,0
2015,Chapecoense - SC,São Paulo - SP,0,0
2015,Vasco da Gama - RJ,Cruzeiro - MG,2,0
2015,Sport - PE,Joinville - SC,0,0
2015,Palmeiras - SP,Fluminense - RJ,0,1
2015,Ponte Preta - SP,Goiás - GO,1,3
2015,Grêmio - RS,Atlético - PR,0,1
2015,Avaí - SC,Figueirense - SC,2,0
2015,Figueirense - SC,Internacional - RS,1,1
2015,Santos - SP,Corinthians - SP,0,0
2015,Flamengo - RJ,Atlético - MG,1,0
2015,Sport - PE,Vasco da Gama - RJ,0,2
2015,Grêmio - RS,Palmeiras - SP,2,2
2015,Cruzeiro - MG,Chapecoense - SC,2,0
2015,São Paulo - SP,Avaí - SC,0,2
2015,Atlético - PR,Coritiba - PR,2,0
2015,Joinville - SC,Goiás - GO,1,0
2015,Fluminense - RJ,Ponte Preta - SP,0,0
2015,Avaí - SC,Grêmio - RS,1,0
2015,Chapecoense - SC,Sport - PE,1,1
2015,Corinthians - SP,Figueirense - SC,2,1
2015,Palmeiras - SP,São Paulo - SP,2,0
2015,Ponte Preta - SP,Atlético - PR,3,0
2015,Coritiba - PR,Cruzeiro - MG,3,0
2015,Goiás - GO,Fluminense - RJ,0,1
2015,Vasco da Gama - RJ,Flamengo - RJ,0,0
2015,Internacional - RS,Santos - SP,1,3
2015,Atlético - MG,Joinville - SC,2,1
2015,Vasco da Gama - RJ,Avaí - SC,1,2
2015,Sport - PE,Internacional - RS,1,0
2015,Palmeiras - SP,Chapecoense - SC,2,1
2015,Atlético - MG,Coritiba - PR,2,0
2015,Grêmio - RS,Cruzeiro - MG,0,2
2015,Atlético - PR,São Paulo - SP,3,1
2015,Joinville - SC,Flamengo - RJ,0,2
2015,Corinthians - SP,Ponte Preta - SP,0,0
2015,Figueirense - SC,Goiás - GO,3,2
2015,Fluminense - RJ,Santos - SP,1,1
2015,Coritiba - PR,Joinville - SC,1,0
2015,Chapecoense - SC,Vasco da Gama - RJ,1,0
2015,Cruzeiro - MG,Atlético - PR,0,1
2015,Avaí - SC,Sport - PE,1,2
2015,São Paulo - SP,Fluminense - RJ,2,0
2015,Santos - SP,Grêmio - RS,1,1
2015,Goiás - GO,Corinthians - SP,0,0
2015,Ponte Preta - SP,Palmeiras - SP,4,0
2015,Flamengo - RJ,Figueirense - SC,0,1
2015,Internacional - RS,Atlético - MG,0,0
2015,Coritiba - PR,Ponte Preta - SP,1,0
2015,Goiás - GO,Santos - SP,2,1
2015,Chapecoense - SC,Grêmio - RS,2,0
2015,Palmeiras - SP,Avaí - SC,3,0
2015,Figueirense - SC,Joinville - SC,0,3
2015,Vasco da Gama - RJ,São Paulo - SP,5,0
2015,Internacional - RS,Flamengo - RJ,0,1
2015,Atlético - MG,Sport - PE,2,3
2015,Corinthians - SP,Atlético - PR,1,3
2015,Fluminense - RJ,Cruzeiro - MG,2,1
2015,Santos - SP,Figueirense - SC,1,1
2015,Grêmio - RS,Vasco da Gama - RJ,2,0
2015,Ponte Preta - SP,Atlético - MG,1,1
2015,São Paulo - SP,Coritiba - PR,1,1
2015,Flamengo - RJ,Corinthians - SP,0,0
2015,Cruzeiro - MG,Goiás - GO,3,1
2015,Atlético - PR,Fluminense - RJ,2,1
2015,Joinville - SC,Internacional - RS,1,0
2015,Avaí - SC,Chapecoense - SC,3,0
2015,Sport - PE,Palmeiras - SP,1,0
2015,Corinthians - SP,Atlético - MG,1,0
2015,Internacional - RS,Goiás - GO,1,1
2015,Flamengo - RJ,Grêmio - RS,3,1
2015,Atlético - PR,Chapecoense - SC,0,1
2015,Palmeiras - SP,Santos - SP,2,0
2015,Fluminense - RJ,Vasco da Gama - RJ,2,1
2015,Figueirense - SC,Coritiba - PR,1,0
2015,Sport - PE,São Paulo - SP,2,0
2015,Cruzeiro - MG,Avaí - SC,0,0
2015,Joinville - SC,Ponte Preta - SP,0,1
2015,Avaí - SC,Atlético - PR,2,0
2015,Grêmio - RS,Sport - PE,1,1
2015,Atlético - MG,Figueirense - SC,1,1
2015,Chapecoense - SC,Fluminense - RJ,1,2
2015,Coritiba - PR,Corinthians - SP,0,1
2015,Goiás - GO,Flamengo - RJ,3,0
2015,São Paulo - SP,Cruzeiro - MG,0,0
