ano,Apelido,AtletaID,ClubeID,Posicao,Pontos
2014,Abuda,79193,Chapecoense,mei,2.1095238095238096
2014,Airton,61985,Botafogo,mei,2.2916666666666674
2014,Alan Costa,82613,Internacional,zag,1.5777777777777777
2014,Alan Ruschel,63110,Internacional,lat,4.48
2014,Alan Santos,70132,Santos,mei,0.9285714285714286
2014,Alecsandro,37673,Flamengo,ata,2.9791666666666665
2014,Alex Silva,84861,Atlético-MG,lat,3.540909090909091
2014,Alison,73974,Santos,mei,1.6652173913043478
2014,Alisson,81845,Cruzeiro,mei,4.064285714285715
2014,Allione,84585,Palmeiras,mei,-0.2666666666666666
2014,Anderson Martins,52618,Corinthians,zag,2.6941176470588237
2014,André,68690,Atlético-MG,ata,1.4421052631578946
2014,Aranha,37984,Santos,gol,4.25
2014,Arouca,37718,Santos,mei,3.870967741935485
2014,Arthur ,80337,Flamengo,ata,2.025
2014,Breno Lopes,86411,Cruzeiro,lat,1.8
2014,Bressan,72491,Grêmio,zag,2.3
2014,Bruno,42499,Fluminense,lat,2.4620689655172416
2014,Bruno Henrique,70944,Corinthians,mei,2.3619047619047615
2014,Bruno Paulista,88933,Bahia,mei,3.7428571428571433
2014,Bruno Rodrigo,51705,Cruzeiro,zag,3.69
2014,Bruno Silva,68698,Chapecoense,mei,4.039999999999999
2014,Caju,89342,Santos,lat,5.954545454545454
2014,Camilo,62009,Chapecoense,mei,3.3875000000000006
2014,Canteros,73918,Flamengo,mei,1.6666666666666667
2014,Carlos Alberto,37652,Botafogo,mei,1.2076923076923074
2014,Clayton,81770,Figueirense,ata,2.540909090909091
2014,Cleberson,80281,Atlético-PR,zag,2.9588235294117644
2014,Cléber Reis,72376,Corinthians,zag,4.635714285714286
2014,Conca,50348,Fluminense,mei,5.711111111111112
2014,Cássio,42234,Corinthians,gol,3.0260869565217394
2014,César,78086,Flamengo,gol,-5.5
2014,Cícero,37688,Fluminense,mei,3.3950000000000005
2014,Cícero,37688,Santos,mei,3.8833333333333333
2014,Daniel,85629,Botafogo,mei,5.291666666666667
2014,Daniel Guedes ,88225,Santos,lat,9.35
2014,Danilo,38067,Corinthians,mei,2.0666666666666664
2014,Danilo Barcelos,84382,Sport,lat,3.6045454545454545
2014,David Braz,50317,Santos,zag,3.586666666666666
2014,Dedé,60819,Cruzeiro,zag,4.619047619047619
2014,Deivid,69018,Atlético-PR,mei,3.1636363636363636
2014,Diego Cavalieri,38431,Fluminense,gol,3.7880000000000007
2014,Diego Souza,68911,Sport,mei,3.194736842105263
2014,Dodô,84927,Atlético-MG,mei,6.3625
2014,Douglas Coutinho ,82469,Atlético-PR,ata,2.923076923076923
2014,Douglas Grolli,78407,Chapecoense,zag,3.438888888888889
2014,Dudu,68920,Grêmio,ata,3.5428571428571427
2014,Durval,38100,Sport,zag,2.5911764705882354
2014,Edinho,37792,Grêmio,mei,0.43999999999999984
2014,Edson,80370,Fluminense,mei,2.211764705882353
2014,Edu Dracena,37657,Santos,zag,2.9052631578947365
2014,Eduardo Henrique,78994,Atlético-MG,mei,0.8999999999999999
2014,Eduardo da Silva,72893,Flamengo,ata,4.152941176470589
2014,Edílson,38523,Botafogo,lat,5.486666666666665
2014,Egídio,42145,Cruzeiro,lat,3.206451612903226
2014,Elias,54395,Corinthians,mei,3.9333333333333336
2014,Emerson Sheik,68744,Botafogo,ata,3.6142857142857143
2014,Erazo,81223,Flamengo,zag,4.05
2014,Escudero,72745,Vitória,mei,0.4624999999999999
2014,Euller ,84890,Vitória,lat,1.6888888888888889
2014,Everaldo,78117,Figueirense,ata,3.034782608695653
2014,Everton,50301,Flamengo,mei,3.2714285714285727
2014,Everton,86757,Grêmio,ata,1.8199999999999998
2014,Fabiano,79887,Chapecoense,lat,2.7034482758620695
2014,Fabrício,49674,Internacional,lat,3.9562500000000007
2014,Fagner,42500,Corinthians,lat,3.635294117647059
2014,Feijão,84313,Bahia,mei,0.575
2014,Felipe Garcia,42330,Fluminense,gol,0.6000000000000002
2014,Fellipe Bastos,70116,Grêmio,mei,3.6666666666666674
2014,Fernandinho,68758,Atlético-MG,ata,3.8333333333333326
2014,Fernandinho,68758,Grêmio,ata,1.59
2014,Fernando Prass,38140,Palmeiras,gol,3.86
2014,Fillipe Soutto,70581,Atlético-MG,mei,1.2666666666666666
2014,Fred,38162,Fluminense,ata,5.982142857142856
2014,Fábio,37656,Cruzeiro,gol,3.410526315789474
2014,Fábio Santos,38229,Corinthians,lat,4.434285714285714
2014,Gabriel,73515,Flamengo,mei,1.7749999999999997
2014,Gabriel,78605,Botafogo,mei,3.8588235294117643
2014,Gatito Fernández,74061,Vitória,gol,1.5857142857142854
2014,Geuvânio,73896,Santos,ata,3.556521739130435
2014,Gilberto ,80313,Internacional,lat,2.4307692307692315
2014,Giovanni,68979,Atlético-MG,gol,3.4199999999999995
2014,Giovanni Augusto,68938,Figueirense,mei,2.7086956521739127
2014,Guilherme,50294,Atlético-MG,ata,1.3473684210526315
2014,Gum,68887,Fluminense,zag,2.7066666666666666
2014,Gustavo,37840,Atlético-PR,zag,2.0599999999999996
2014,Gustavo Ferrareis,89815,Internacional,mei,0.25
2014,Gustavo Scarpa,87999,Fluminense,mei,-0.033333333333333326
2014,Helton Leite,79973,Botafogo,gol,8.299999999999999
2014,Henrique,37694,Cruzeiro,mei,2.6833333333333327
2014,Henrique Almeida,68773,Bahia,ata,2.604166666666667
2014,Henrique Dourado,81905,Palmeiras,ata,3.671875000000001
2014,Hernane,72386,Flamengo,ata,1.3
2014,Hudson,50324,São Paulo,mei,2.546666666666667
2014,Hyoran,85931,Chapecoense,mei,0.9333333333333332
2014,Jadson,38315,Corinthians,mei,2.5642857142857154
2014,Jean,62047,Fluminense,mei,2.490625
2014,Jefferson,38109,Botafogo,gol,2.963636363636364
2014,Joel,82787,Coritiba,ata,3.795000000000001
2014,José Welison,86859,Vitória,mei,2.2200000000000006
2014,João Paulo,56102,Atlético-PR,mei,-0.36000000000000004
2014,João Pedro ,89273,Palmeiras,lat,2.68125
2014,Juan,36540,Internacional,zag,4.49047619047619
2014,Juan,37705,Vitória,lat,1.7347826086956524
2014,Judivan ,89190,Cruzeiro,ata,4.9
2014,Juninho,63119,Palmeiras,lat,1.9818181818181815
2014,Jô,38138,Atlético-MG,ata,1.575
2014,Kadu,50427,Vitória,zag,2.838461538461538
2014,Keirrison,50880,Coritiba,ata,2.6699999999999995
2014,Kieza,68930,Bahia,ata,2.3736842105263163
2014,Kleber,40179,Grêmio,ata,0.6
2014,Klever,68884,Fluminense,gol,0.6000000000000002
2014,Leandro Damião,68953,Santos,ata,3.123076923076923
2014,Leandro Donizete,51318,Atlético-MG,mei,1.671428571428572
2014,Leandro Pereira,78968,Chapecoense,ata,4.404347826086957
2014,Leandro Silva,77529,Figueirense,lat,2.4391304347826086
2014,Leonardo Silva,68925,Atlético-MG,zag,4.069565217391305
2014,Luan,63219,Atlético-MG,ata,3.83157894736842
2014,Luan,86759,Grêmio,ata,2.6392857142857133
2014,Lucas,50362,Botafogo,lat,1.4111111111111112
2014,Lucas Fonseca,80189,Bahia,zag,3.722727272727273
2014,Lucas Lima,80583,Santos,mei,3.2294117647058824
2014,Lucas Silva,79701,Cruzeiro,mei,2.0153846153846153
2014,Lucão,84554,São Paulo,zag,2.125
2014,Luis Fabiano,37919,São Paulo,ata,4.428571428571428
2014,Luis Ricardo,55348,São Paulo,lat,1.5666666666666667
2014,Luiz Antonio ,74060,Flamengo,mei,1.5760000000000003
2014,Léo,50459,Cruzeiro,zag,3.3241379310344827
2014,Léo,69177,Flamengo,lat,2.4
2014,Léo Moura,37701,Flamengo,lat,2.887500000000001
2014,Magrão,41218,Sport,gol,3.2172413793103454
2014,Maicon,38196,São Paulo,mei,1.8105263157894735
2014,Maicosuel,37851,Atlético-MG,mei,2.2642857142857142
2014,Manoel,69014,Cruzeiro,zag,4.723076923076923
2014,Marcelo Grohe,37770,Grêmio,gol,5.75
2014,Marcelo Oliveira,50328,Palmeiras,mei,1.0148148148148146
2014,Marcos Guilherme ,83266,Atlético-PR,mei,2.417142857142857
2014,Marcos Junior,80188,Vitória,ata,0.9833333333333333
2014,Marcos Rocha,63013,Atlético-MG,lat,4.821052631578948
2014,Marlone,80944,Cruzeiro,mei,2.0538461538461537
2014,Marquinhos,60788,Cruzeiro,ata,3.644444444444445
2014,Marquinhos,60788,Vitória,ata,6.2
2014,Marquinhos Gabriel,68954,Palmeiras,mei,2.4250000000000003
2014,Mayke,81150,Cruzeiro,lat,4.4931034482758605
2014,Mena,77967,Santos,lat,2.6799999999999993
2014,Michel Bastos,37607,São Paulo,lat,4.105555555555555
2014,Márcio Araújo,38311,Flamengo,mei,2.458064516129031
2014,Nathan,89156,Palmeiras,zag,1.27
2014,Negueba,70929,Flamengo,ata,0.4818181818181818
2014,Neilton,83772,Cruzeiro,ata,2.2
2014,Nenén,79892,Chapecoense,mei,1.0727272727272728
2014,Neto Berola,68807,Atlético-MG,ata,2.35
2014,Neto Moura,87742,Sport,mei,0.7
2014,Nicolas Careca,89341,Grêmio,ata,3.8
2014,Nilmar,37653,Internacional,ata,2.957142857142857
2014,Nino Paraíba,68808,Vitória,lat,2.168181818181818
2014,Osvaldo,42222,São Paulo,ata,1.9500000000000004
2014,Otávio ,82463,Atlético-PR,mei,0.175
2014,Pablo,69138,Figueirense,ata,2.7473684210526317
2014,Paolo Guerrero,75295,Corinthians,ata,4.607142857142856
2014,Pará,62086,Grêmio,lat,4.224242424242423
2014,Patric,60969,Sport,lat,4.453125
2014,Paulinho,78578,Flamengo,ata,1.7461538461538462
2014,Paulo Roberto,69047,Figueirense,mei,1.8384615384615388
2014,Paulo Victor,68873,Flamengo,gol,4.685185185185186
2014,Paulão,63172,Internacional,zag,4.8549999999999995
2014,Pedro Geromel,80853,Grêmio,zag,4.095652173913043
2014,Petros,78891,Corinthians,mei,4.877777777777777
2014,Pierre,38440,Atlético-MG,mei,1.5399999999999998
2014,Rafael,68928,Cruzeiro,gol,0.7
2014,Rafael Carioca,60784,Atlético-MG,mei,1.6333333333333333
2014,Rafael Galhardo,68821,Bahia,lat,9.440000000000001
2014,Rafael Moura,37655,Internacional,ata,2.9545454545454546
2014,Rafael Sobis,37798,Fluminense,ata,3.0096774193548397
2014,Ramiro,78715,Grêmio,mei,1.4636363636363638
2014,Reinaldo,78850,São Paulo,lat,2.69375
2014,Renato,38908,Santos,mei,1.8727272727272728
2014,Renê,78445,Sport,lat,3.4972972972972967
2014,Rhodolfo,42501,Grêmio,zag,3.439130434782609
2014,Ricardo Silva,79334,Atlético-PR,zag,11.8
2014,Rildo,73635,Santos,ata,1.7666666666666664
2014,Rithely,68834,Sport,mei,2.948484848484847
2014,Robinho,38246,Santos,ata,2.6437500000000003
2014,Robinho,62104,Coritiba,mei,2.27
2014,Rodrigo Caio,73800,São Paulo,zag,2.3499999999999996
2014,Rodriguinho,61033,Grêmio,mei,1.6909090909090911
2014,Roger Carvalho,51415,Vitória,zag,1.372222222222222
2014,Rogério,73540,Botafogo,ata,2.41875
2014,Ronaldo,85149,Sport,mei,0.6222222222222222
2014,Régis,82647,Chapecoense,mei,1.56
2014,Régis,82647,Sport,mei,1.5166666666666666
2014,Régis Souza,68995,Botafogo,lat,2.3923076923076922
2014,Réver,52253,Atlético-MG,zag,3.516666666666667
2014,Santos,69012,Atlético-PR,gol,1.2333333333333334
2014,Sassá,79578,Botafogo,ata,-0.65
2014,Serginho,88002,Santos,mei,0.29999999999999993
2014,Sidcley,86764,Atlético-PR,lat,1.9166666666666667
2014,Thiago Heleno,38394,Figueirense,zag,1.9666666666666668
2014,Thiago Maia,89637,Santos,mei,1.2
2014,Thiago Ribeiro,68929,Santos,ata,3.614285714285715
2014,Tiago ,79042,Atlético-MG,zag,7.039999999999999
2014,Valdívia,85423,Internacional,mei,2.8
2014,Vanderlei,62121,Coritiba,gol,3.1960000000000006
2014,Victor,52950,Atlético-MG,gol,3.9153846153846157
2014,Victor Ferraz,70046,Coritiba,lat,4.4
2014,Victor Ferraz,70046,Santos,lat,3.3800000000000003
2014,Victor Luis,86410,Palmeiras,lat,3.8115384615384604
2014,Wagner,37674,Fluminense,mei,3.7419354838709675
2014,Wallace Reis ,68958,Flamengo,zag,3.576666666666666
2014,Walter,51413,Corinthians,gol,4.133333333333334
2014,Walter,62128,Fluminense,ata,0.7681818181818183
2014,Wellington,62129,Internacional,mei,1.4421052631578946
2014,Wellington Paulista,38279,Internacional,ata,1.2500000000000002
2014,Wendel,38021,Sport,mei,0.7827586206896551
2014,Werley,62974,Grêmio,zag,3.853846153846154
2014,Wesley,50421,Palmeiras,mei,1.732
2014,Weverton,71631,Atlético-PR,gol,4.126666666666667
2014,William Matheus,62130,Palmeiras,lat,6.433333333333334
2014,Willian,42116,Cruzeiro,ata,2.8851851851851853
2014,Willian Arão,78478,Chapecoense,mei,-0.20000000000000007
2014,Willian Farias,63058,Cruzeiro,mei,1.4769230769230768
2014,Wilson,50284,Vitória,gol,3.963636363636364
2014,Yago,87747,Figueirense,mei,0.82
2014,Zeca,87192,Santos,lat,3.5666666666666673
2014,Zé Rafael ,82455,Coritiba,mei,0.9666666666666668
2014,Zé Roberto,36612,Grêmio,lat,2.8166666666666673
2014,Ángel Romero,88323,Corinthians,ata,1.394736842105263
2014,Éderson,73446,Atlético-PR,ata,2.058333333333333
2014,Élber,74140,Coritiba,mei,1.3235294117647058
2014,Élber,74140,Cruzeiro,mei,0.2
2014,Éverton Ribeiro,51772,Cruzeiro,mei,5.445161290322581
2015,Abuda,79193,Chapecoense,mei,-2.3
2015,Alan Costa,82613,Internacional,zag,8.8
2015,Alan Ruschel,63110,Internacional,lat,-3.0
2015,Alan Santos,70132,Coritiba,mei,-2.2
2015,Alecsandro,37673,Flamengo,ata,3.9
2015,Alex Muralha,79066,Figueirense,gol,16.4
2015,Alison,73974,Santos,mei,0.2
2015,Alisson,81845,Cruzeiro,mei,0.6
2015,Allione,84585,Palmeiras,mei,1.4
2015,Amaral,42232,Palmeiras,mei,-1.0
2015,André,68690,Sport,ata,-0.5
2015,Arouca,37718,Palmeiras,mei,-0.2
2015,Breno Lopes,86411,Fluminense,lat,12.0
2015,Bressan,72491,Flamengo,zag,0.4
2015,Bruno,42499,São Paulo,lat,-1.9
2015,Bruno Alves,73620,Figueirense,zag,-4.7
2015,Bruno Brígido,77556,Corinthians,gol,-4.0
2015,Bruno Henrique,70944,Corinthians,mei,-1.4
2015,Bruno Rodrigo,51705,Cruzeiro,zag,1.1
2015,Bruno Silva,68698,Chapecoense,mei,-1.3
2015,Caju,89342,Santos,lat,1.2
2015,Camilo,62009,Chapecoense,mei,5.7
2015,Canteros,73918,Flamengo,mei,-0.7
2015,Carlos Alberto,37652,Figueirense,mei,8.9
2015,Clayton,81770,Figueirense,ata,-2.5
2015,Cleberson,80281,Atlético-PR,zag,-1.6
2015,Cássio,42234,Corinthians,gol,4.1
2015,César,78086,Flamengo,gol,2.0
2015,Cícero,37688,Fluminense,mei,-0.4
2015,Daniel,85629,São Paulo,mei,0.4
2015,Daniel Guedes ,88225,Santos,lat,1.6
2015,Danilo,38067,Corinthians,mei,0.1
2015,Danilo Barcelos,84382,Sport,lat,-0.3
2015,David Braz,50317,Santos,zag,-2.0
2015,Deivid,69018,Atlético-PR,mei,5.3
2015,Diego Cavalieri,38431,Fluminense,gol,1.35
2015,Diego Souza,68911,Sport,mei,18.9
2015,Dodô,84927,Atlético-MG,mei,-1.1
2015,Douglas Coutinho ,82469,Atlético-PR,ata,0.4
2015,Douglas Grolli,78407,Cruzeiro,zag,3.5
2015,Dudu,68920,Palmeiras,ata,-0.2
2015,Durval,38100,Sport,zag,3.5
2015,Edinho,37792,Grêmio,mei,-1.1
2015,Edson,80370,Fluminense,mei,12.0
2015,Edu Dracena,37657,Corinthians,zag,5.2
2015,Eduardo,50645,Atlético-PR,lat,1.4
2015,Eduardo Henrique,78994,Atlético-MG,mei,4.9
2015,Eduardo da Silva,72893,Flamengo,ata,2.85
2015,Edílson,38523,Corinthians,lat,9.6
2015,Egídio,42145,Palmeiras,lat,-0.9
2015,Elias,54395,Corinthians,mei,0.6
2015,Emerson Sheik,68744,Corinthians,ata,0.2
2015,Erazo,81223,Grêmio,zag,-6.4
2015,Everaldo,78117,Figueirense,ata,0.9
2015,Everton,50301,Flamengo,mei,8.2
2015,Everton,86757,Grêmio,ata,2.9
2015,Fabiano,79887,Cruzeiro,lat,0.2
2015,Fabrício,49674,Cruzeiro,lat,0.8
2015,Fagner,42500,Corinthians,lat,2.6
2015,Fellipe Bastos,70116,Grêmio,mei,-0.3
2015,Fernandinho,68758,Grêmio,ata,0.7
2015,Fernando Prass,38140,Palmeiras,gol,0.7
2015,Fred,38162,Fluminense,ata,3.1
2015,Fábio,37656,Cruzeiro,gol,-2.0
2015,Fábio Santos,38229,Corinthians,lat,14.6
2015,Gabriel,73515,Flamengo,mei,0.6
2015,Gabriel,78605,Palmeiras,mei,3.7
2015,Geuvânio,73896,Santos,ata,2.9
2015,Giovanni Augusto,68938,Atlético-MG,mei,2.9
2015,Guilherme,50294,Atlético-MG,ata,0.4
2015,Guilherme Arana,87228,Atlético-PR,lat,8.4
2015,Gum,68887,Fluminense,zag,5.9
2015,Gustavo,37840,Atlético-PR,zag,4.2
2015,Gustavo Henrique,78248,Santos,zag,-6.6
2015,Gustavo Scarpa,87999,Fluminense,mei,-0.8
2015,Henrique,37694,Cruzeiro,mei,3.7
2015,Henrique Almeida,68773,Coritiba,ata,0.2
2015,Henrique Dourado,81905,Cruzeiro,ata,-0.7
2015,Hernane,72386,Sport,ata,4.4
2015,Hudson,50324,São Paulo,mei,4.0
2015,Hyoran,85931,Chapecoense,mei,0.1
2015,Jadson,38315,Corinthians,mei,10.9
2015,Jean,62047,Fluminense,mei,4.2
2015,Joel,82787,Cruzeiro,ata,0.7999999999999999
2015,João Paulo,56102,Corinthians,mei,0.8
2015,João Paulo,56102,Coritiba,mei,-1.2000000000000002
2015,João Pedro ,89273,Palmeiras,lat,1.05
2015,João Schmidt ,77777,São Paulo,mei,-1.4
2015,Juan,36540,Internacional,zag,1.6
2015,Juan,37705,Coritiba,lat,-0.3
2015,Judivan ,89190,Cruzeiro,ata,-0.5
2015,Juninho,63119,Figueirense,lat,3.6
2015,Jô,38138,Atlético-MG,ata,5.9
2015,Júlio César,49673,Fluminense,gol,-1.0
2015,Kadu,50427,Atlético-PR,zag,8.4
2015,Keirrison,50880,Coritiba,ata,-0.4
2015,Kleber,40179,Coritiba,ata,-0.7
2015,Klever,68884,Fluminense,gol,-2.0
2015,Leandro Damião,68953,Cruzeiro,ata,2.2
2015,Leandro Donizete,51318,Atlético-MG,mei,-0.6
2015,Leandro Pereira,78968,Palmeiras,ata,-2.2
2015,Leandro Silva,77529,Figueirense,lat,7.1
2015,Leonardo Silva,68925,Atlético-MG,zag,-1.6
2015,Luan,63219,Atlético-MG,ata,19.2
2015,Luan,86759,Grêmio,ata,14.1
2015,Lucas,50362,Palmeiras,lat,0.4
2015,Lucas Lima,80583,Santos,mei,4.5
2015,Lucas Otávio ,84896,Santos,mei,5.7
2015,Lucca,61149,Corinthians,ata,-0.3
2015,Lucão,84554,São Paulo,zag,0.2
2015,Luis Fabiano,37919,São Paulo,ata,8.1
2015,Luiz Antonio ,74060,Flamengo,mei,-1.3
2015,Léo,50459,Cruzeiro,zag,0.4
2015,Léo,69177,Internacional,lat,1.9
2015,Magrão,41218,Sport,gol,-2.0
2015,Maicon,38196,Grêmio,mei,-1.5
2015,Maicosuel,37851,Atlético-MG,mei,2.3
2015,Manoel,69014,Cruzeiro,zag,0.2
2015,Marcelo Grohe,37770,Grêmio,gol,2.4
2015,Marcelo Oliveira,50328,Grêmio,mei,0.8
2015,Marcos Guilherme ,83266,Atlético-PR,mei,5.9
2015,Marcos Junior,80188,Fluminense,ata,7.4
2015,Marcos Rocha,63013,Atlético-MG,lat,11.0
2015,Marlone,80944,Fluminense,mei,0.5
2015,Marquinhos,60788,Cruzeiro,ata,0.2
2015,Marquinhos Gabriel,68954,Santos,mei,-3.45
2015,Matheus Sales,89285,Palmeiras,mei,-0.4
2015,Mayke,81150,Cruzeiro,lat,-0.9
2015,Mena,77967,Cruzeiro,lat,8.9
2015,Michel Bastos,37607,São Paulo,lat,7.2
2015,Márcio Araújo,38311,Flamengo,mei,0.2
2015,Nathan,89156,Palmeiras,zag,-1.6
2015,Negueba,70929,Corinthians,ata,-0.2
2015,Neilton,83772,Cruzeiro,ata,1.5
2015,Nenén,79892,Chapecoense,mei,-0.25
2015,Neto Berola,68807,Santos,ata,6.7
2015,Neto Moura,87742,Sport,mei,8.6
2015,Nilmar,37653,Internacional,ata,6.1
2015,Nino Paraíba,68808,Avaí,lat,-1.2
2015,Osvaldo,42222,Fluminense,ata,-1.6
2015,Otávio ,82463,Atlético-PR,mei,8.6
2015,Paolo Guerrero,75295,Corinthians,ata,5.0
2015,Pará,62086,Flamengo,lat,2.8
2015,Patric,60969,Atlético-MG,lat,3.8
2015,Paulinho,78578,Flamengo,ata,-0.9
2015,Paulo Roberto,69047,Figueirense,mei,5.2
2015,Paulo Victor,68873,Flamengo,gol,1.4
2015,Paulão,63172,Internacional,zag,-3.9
2015,Pedro Geromel,80853,Grêmio,zag,-0.3
2015,Petros,78891,Corinthians,mei,3.6
2015,Pierre,38440,Fluminense,mei,1.4
2015,Rafael,68928,Cruzeiro,gol,3.7
2015,Rafael Carioca,60784,Atlético-MG,mei,-0.3
2015,Rafael Galhardo,68821,Grêmio,lat,1.4
2015,Rafael Moura,37655,Internacional,ata,2.7
2015,Rafael Thyere,83048,Grêmio,zag,1.4
2015,Ramiro,78715,Grêmio,mei,-1.2
2015,Reinaldo,78850,São Paulo,lat,-1.8
2015,Renan Ribeiro,68932,São Paulo,gol,3.4
2015,Renato,38908,Santos,mei,2.8
2015,Renato,39572,Fluminense,lat,5.3
2015,Renê,78445,Sport,lat,-6.7
2015,Rhodolfo,42501,Grêmio,zag,1.2
2015,Ricardo Silva,79334,Atlético-PR,zag,0.7
2015,Rildo,73635,Ponte Preta,ata,7.8
2015,Rithely,68834,Sport,mei,1.0
2015,Robert ,85121,Fluminense,mei,1.3
2015,Robinho,38246,Santos,ata,8.2
2015,Robinho,62104,Palmeiras,mei,0.3
2015,Rodrigo Caio,73800,São Paulo,zag,-1.4
2015,Rodriguinho,61033,Corinthians,mei,2.4
2015,Rogério,73540,São Paulo,ata,14.8
2015,Ronaldo,85149,Sport,mei,-0.8
2015,Régis,82647,Sport,mei,6.0
2015,Réver,52253,Internacional,zag,-0.6
2015,Santos,69012,Atlético-PR,gol,-4.0
2015,Serginho,88002,Santos,mei,1.7
2015,Sidcley,86764,Atlético-PR,lat,8.3
2015,Thiago Heleno,38394,Figueirense,zag,5.7
2015,Thiago Maia,89637,Santos,mei,-0.5
2015,Thiago Mendes,71123,São Paulo,mei,-0.5
2015,Thiago Ribeiro,68929,Atlético-MG,ata,0.1
2015,Tiago ,79042,Atlético-MG,zag,5.433333333333334
2015,Valdívia,85423,Internacional,mei,2.5
2015,Vanderlei,62121,Santos,gol,-4.3
2015,Victor,52950,Atlético-MG,gol,-1.9
2015,Victor Ferraz,70046,Santos,lat,7.2
2015,Wagner,37674,Fluminense,mei,-1.6
2015,Wallace Reis ,68958,Flamengo,zag,5.3
2015,Walter,51413,Corinthians,gol,10.4
2015,Walter,62128,Atlético-PR,ata,10.0
2015,Wellington,62129,Internacional,mei,-2.6
2015,Wellington Paulista,38279,Coritiba,ata,-1.1
2015,Wendel,38021,Sport,mei,2.1
2015,Werley,62974,Santos,zag,-0.9
2015,Wesley,50421,São Paulo,mei,3.5
2015,Weverton,71631,Atlético-PR,gol,11.5
2015,Willian,42116,Cruzeiro,ata,5.4
2015,Willian Farias,63058,Cruzeiro,mei,-0.3
2015,Wilson,50284,Coritiba,gol,7.7
2015,Yago,87747,Figueirense,mei,-0.4
2015,Zeca,87192,Santos,lat,7.8
2015,Zé Roberto,36612,Palmeiras,lat,7.8
2015,Ángel Romero,88323,Corinthians,ata,6.9
2015,Élber,74140,Sport,mei,6.5
2016,Abuda,79193,Ponte Preta,mei,0.4571428571428572
2016,Agenor,71724,Sport,gol,-1.52
2016,Airton,61985,Botafogo,mei,2.275
2016,Alan Costa,82613,Internacional,zag,-1.2399999999999998
2016,Alan Ruschel,63110,Chapecoense,lat,3.1599999999999997
2016,Alan Santos,70132,Coritiba,mei,0.7499999999999998
2016,Alecsandro,37673,Palmeiras,ata,1.3384615384615384
2016,Alex Muralha,79066,Flamengo,gol,4.054166666666667
2016,Alex Silva,84861,Atlético-MG,lat,1.0
2016,Alison,73974,Santos,mei,0.4
2016,Alisson,81845,Cruzeiro,mei,2.8550000000000004
2016,Allione,84585,Palmeiras,mei,1.4
2016,Amaral,42232,Coritiba,mei,3.1875000000000004
2016,André,68690,Corinthians,ata,1.3799999999999997
2016,Aranha,37984,Ponte Preta,gol,2.05
2016,Arouca,37718,Palmeiras,mei,-1.35
2016,Arthur ,80337,Santa Cruz,ata,2.74
2016,Breno Lopes,86411,Ponte Preta,lat,2.2166666666666663
2016,Bressan,72491,Grêmio,zag,3.483333333333334
2016,Bruno,42499,São Paulo,lat,2.6500000000000004
2016,Bruno Alves,73620,Figueirense,zag,2.7156249999999997
2016,Bruno Henrique,70944,Corinthians,mei,5.614285714285715
2016,Bruno Rodrigo,51705,Cruzeiro,zag,3.2629629629629626
2016,Bruno Silva,68698,Botafogo,mei,2.7896551724137932
2016,Caju,89342,Santos,lat,5.9
2016,Camilo,62009,Botafogo,mei,4.053846153846153
2016,Canteros,73918,Flamengo,mei,0.15
2016,Carlos Alberto,37652,Figueirense,mei,4.2
2016,Clayton,81770,Atlético-MG,ata,2.3185185185185184
2016,Cleberson,80281,Atlético-PR,zag,-0.9333333333333332
2016,Cássio,42234,Corinthians,gol,1.8250000000000002
2016,Cícero,37688,Fluminense,mei,3.0235294117647054
2016,Daniel,85629,São Paulo,mei,0.8666666666666668
2016,Daniel Guedes ,88225,Santos,lat,1.25
2016,Danilo,38067,Corinthians,mei,1.8833333333333335
2016,Danilo Barcelos,84382,América-MG,lat,3.103030303030303
2016,David Braz,50317,Santos,zag,2.46
2016,Deivid,69018,Atlético-PR,mei,4.688888888888889
2016,Diego Cavalieri,38431,Fluminense,gol,3.8599999999999994
2016,Diego Souza,68911,Sport,mei,5.060606060606059
2016,Diogo Barbosa,70916,Botafogo,lat,3.8769230769230774
